,date,time,lightgbm,pvsim,actual
0,2023-06-14,06:00:00,0.324276309220115,0.16798339208051466,0.14997901397625782
1,2023-06-14,07:00:00,0.563171114878541,0.37359331145225716,0.5456253146743224
2,2023-06-14,08:00:00,0.6495134416032253,0.5538259177555531,0.7249323849585616
3,2023-06-14,09:00:00,0.5920511554923361,0.6939124918578254,0.5472930840189345
4,2023-06-14,10:00:00,0.6381875008415588,0.7607181497022583,0.6471003720451753
5,2023-06-14,11:00:00,0.6328621453686855,0.7783445189613657,0.782438754234861
6,2023-06-14,12:00:00,0.5816244772521927,0.7187064036875739,0.5808222857950802
7,2023-06-14,13:00:00,0.4348272628640985,0.6150811351254026,0.35894489448610123
8,2023-06-14,14:00:00,0.3233467251420446,0.45144961667545613,0.28600287217202336
9,2023-06-14,15:00:00,0.07715926155388736,0.2457093880484161,0.09232629674227594
10,2023-06-14,16:00:00,0.027410194871928795,0.07963104118035623,0.03586319546223074
11,2023-06-14,17:00:00,0.016024214221239702,0.058019291843456375,0.01704265244001451
12,2023-06-14,18:00:00,0.006519048695226862,0.03196681079743784,0.008780535081075066
13,2023-06-14,19:00:00,0.004672168109102386,0.0035810152677866656,0.004002078175793784
14,2023-06-15,01:00:00,0.004766842510294707,0.0,0.0029489017549367514
15,2023-06-15,02:00:00,0.004692140059893691,0.012222581365267863,0.00488212914762657
16,2023-06-15,03:00:00,0.005490064589411255,0.04784056391518107,0.0063525269114223255
17,2023-06-15,04:00:00,0.011473014400069167,0.07827120070101211,0.006374093609073088
18,2023-06-15,05:00:00,0.13498112963146877,0.09888826918546864,0.07923965424506267
19,2023-06-16,19:00:00,0.00500123891019792,0.003116165332536809,0.001793560613676375
20,2023-06-17,04:00:00,0.012147621853901096,0.07701534021334172,0.00760577736820537
21,2023-06-18,16:00:00,0.042764254957476475,0.08045889643015536,0.047261933686514115
22,2023-06-19,08:00:00,0.6003009038570645,0.5305932580023496,0.7364967499974038
23,2023-06-19,09:00:00,0.5836169497842522,0.6769552123426269,0.3890486869029936
24,2023-06-19,10:00:00,0.6390359582162521,0.7685764796563045,0.8531189382667194
25,2023-06-19,11:00:00,0.595124397052765,0.7848424124530846,0.6639504492856847
26,2023-06-19,12:00:00,0.6347200031225434,0.7312707075387122,0.7069986060684543
27,2023-06-19,13:00:00,0.5021516283557176,0.6162367381146091,0.5588655165935627
28,2023-06-19,14:00:00,0.34370382420765694,0.44821253125172456,0.3502053953839961
29,2023-06-19,15:00:00,0.23694940601124925,0.24439458643609027,0.09617820141684388
30,2023-06-19,16:00:00,0.04398124129469875,0.07954390859263774,0.026396703637323868
31,2023-06-19,17:00:00,0.0158308435583355,0.05807100511632962,0.014789317566220232
32,2023-06-19,18:00:00,0.0080096089695275,0.03220408358427521,0.007062300721855222
33,2023-06-19,19:00:00,0.004993517134188144,0.004444289065586609,0.0037481238187575174
34,2023-06-20,01:00:00,0.004786252461121677,0.0,0.0027100405822013535
35,2023-06-20,02:00:00,0.004786252461121677,0.011767584491528779,0.004146447198037847
36,2023-06-20,03:00:00,0.009639301704735731,0.046246438152861544,0.007211061852028758
37,2023-06-20,04:00:00,0.012147621853901096,0.07580269807460392,0.007257256555880304
38,2023-06-20,05:00:00,0.13498112963146877,0.09727552330874316,0.06849440297930284
39,2023-06-20,06:00:00,0.3193724388861292,0.15513200825820198,0.16328219692444343
40,2023-06-20,07:00:00,0.4528578827588146,0.3443394430056274,0.5600902365113015
41,2023-06-20,08:00:00,0.6388556491813661,0.512459166671769,0.6921296560306486
42,2023-06-20,09:00:00,0.5969876943657326,0.6571069817545144,0.39423127385766066
43,2023-06-20,10:00:00,0.6019465414941242,0.7425394734998579,0.6659132875189072
44,2023-06-20,11:00:00,0.6019465414941242,0.7571192812943942,0.7898999051376773
45,2023-06-20,12:00:00,0.6201168553272234,0.7025919896758205,0.5910045629559593
46,2023-06-20,13:00:00,0.5061917345349305,0.5944651086289995,0.47408951236462443
47,2023-06-21,01:00:00,0.004708473449258924,0.0,0.002337871662624176
48,2023-06-21,04:00:00,0.010087662424442227,0.07621690894415292,0.007199103833697155
49,2023-06-21,05:00:00,0.1351894306252589,0.09738030187641525,0.09395460649889152
50,2023-06-21,06:00:00,0.30967683338959484,0.1548008275545182,0.18488089111117792
51,2023-06-21,07:00:00,0.43483273968709496,0.3413750157697957,0.3939125446057198
52,2023-06-21,08:00:00,0.59669102907913,0.5058448621805381,0.6114569589062728
53,2023-06-21,09:00:00,0.552326462958251,0.6175383971082029,0.36410549523998614
54,2023-06-21,16:00:00,0.041771926420876807,0.07953223557118902,0.04200023624517254
55,2023-06-21,18:00:00,0.006663822793414968,0.030804220204648524,0.008021637528482322
56,2023-06-21,19:00:00,0.005123993424709903,0.004160802324776086,0.003315700104343934
57,2023-06-23,01:00:00,0.004855261747799966,0.0,0.0028611212927187636
58,2023-06-23,02:00:00,0.004837123118179432,0.010911528757096778,0.005259921783170331
59,2023-06-23,03:00:00,0.005492793526361195,0.046092774581088555,0.00732502822661075
60,2023-06-23,04:00:00,0.007481095883277645,0.07694343534592249,0.007159596424495223
61,2023-06-23,05:00:00,0.13358320258463327,0.09895996525937818,0.07495685267133566
62,2023-06-23,06:00:00,0.30472893438552157,0.15763047238018593,0.1697187246736022
63,2023-06-23,07:00:00,0.4443605381408631,0.35472427469180934,0.5851895904497832
64,2023-06-23,08:00:00,0.5327118169296209,0.5306490178307205,0.6204466221749348
65,2023-06-23,12:00:00,0.575329145007738,0.7080563019280757,0.49340438213642046
