date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2023-02-19,10:00:00,1278.6791666666666,170.4897985690594,70.79087156973095,19.209128430269047,11.389659955444492,122.0,5.0,117.0,16.0,-0.4,-2.0,89,987.5,21.5,305,100,85,97,97,0.4,0.0,0.28,73,75.0,2011.1427693789155,1820.2558333333327,838.2883333333333,1000.8375,1208.4675
2022-03-08,09:00:00,993.4308333333332,154.45814818585,66.59071705485897,23.40928294514104,10.440228926605876,56.0,0.0,56.0,0.0,-2.7,-4.5,88,1015.8,17.3,270,100,100,100,61,0.5,0.0,0.35,73,0.0,313.25591183292863,4572.238333333334,3177.8700000000003,15179.664166666667,15597.0625
2023-02-19,07:00:00,27.625,126.75598336816472,82.75919098157499,7.240809018425014,8.38946694623679,15.0,0.0,15.0,0.0,-0.8,-2.3,90,986.7,27.8,301,100,96,100,97,0.3,0.0,0.21,73,0.0,0.0,156.83083333333337,0.0,725.2725,342.90000000000003
2022-04-05,11:00:00,5437.645833333333,190.7085063341846,53.35903554515605,36.640964454843946,12.574971524041514,285.0,58.0,227.0,96.5,0.2,-1.2,91,970.3,31.0,177,100,96,100,81,0.3,0.0,0.21,73,232.0,6301.659036417707,1807.4191666666663,2502.661666666667,23437.889166666664,23192.57083333333
2022-02-25,13:00:00,595.8000000000001,217.21235636150135,73.96602122618222,16.033978773817775,14.403144246641231,73.0,0.0,73.0,0.0,0.8,0.5,98,986.4,35.9,191,100,93,98,21,1.0,0.1,0.63,73,0.0,711.1659269340875,1718.4991666666667,2556.5875,3032.6733333333336,1124.02
2022-04-04,14:00:00,1081.9383333333333,240.38544126188083,67.01406427686807,22.98593572313193,15.570772766122294,60.0,0.0,60.0,0.0,1.3,0.9,97,984.2,28.2,253,100,100,100,100,0.8,0.2,0.42,73,0.0,398.687902804146,13997.33,13921.070833333331,12757.768333333332,5961.755
2023-03-04,08:00:00,71.66916666666667,139.40295556388952,72.45597456139832,17.544025438601675,9.423763217570514,68.0,7.0,61.0,27.4,-0.6,-1.6,93,983.4,24.4,352,100,83,97,2,0.7,0.0,0.49,73,119.0,925.5254334502224,7737.321666666667,5119.649166666667,12364.721666666666,12170.725833333332
2022-02-21,14:00:00,351.63416666666666,230.68431730001717,80.61543724865489,9.384562751345111,15.393911536755922,37.0,0.0,37.0,0.0,0.7,0.1,96,971.5,24.0,311,100,100,80,86,0.8,0.1,0.49,73,0.0,0.0,844.085,1417.0633333333335,315.96750000000003,2819.2425000000003
2023-03-04,10:00:00,253.76916666666668,170.59162104323718,65.9289265204428,24.0710734795572,11.424063169051047,212.0,59.0,153.0,150.5,-0.3,-1.6,91,985.3,23.5,356,100,88,67,1,0.3,0.0,0.21,73,708.0,5802.851892573474,14820.988333333333,14914.3075,16833.760833333334,16298.315
2022-02-21,08:00:00,733.02,140.3622658372619,76.40302880803095,13.596971191969043,9.39341854546368,53.0,0.0,53.0,0.0,-1.5,-2.9,91,977.7,25.3,334,100,67,100,100,0.4,0.0,0.28,73,0.0,260.8624442755093,1060.7175,747.5091666666667,229.2975,1623.5416666666667
