date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2023-03-28,10:00:00,6611.134999999999,171.6122205185354,56.40223374242216,33.597766257577845,11.534116874473636,462.0,308.0,154.0,571.0,1.7,-8.2,48,1001.5,16.6,185,78,41,59,18,0.1,0.0,0.07,71,18172.0,15191.00103025146,4320.604166666667,2626.675,2269.6341666666667,6443.224999999999
2022-02-25,07:00:00,773.4916666666667,125.96685977072345,80.61566146441906,9.38433853558094,8.402484451066114,38.0,5.0,33.0,42.1,0.9,-0.1,93,988.0,25.3,281,100,61,100,96,0.4,0.2,0.14,71,195.0,390.2762563655699,1585.7166666666665,544.0308333333334,1584.4575000000002,1281.3483333333334
2022-03-30,08:00:00,16617.268333333333,137.43917876702193,62.156272552419225,27.84372744758078,9.544937032315897,310.0,145.0,165.0,343.4,-0.3,-6.9,61,999.8,17.3,178,79,35,78,1,0.1,0.0,0.07,71,9425.0,9877.32241763025,6780.787499999999,6216.894166666666,3712.805833333333,20053.6825
2022-03-08,14:00:00,367.7633333333333,233.71474116972016,75.72018751240526,14.279812487594745,15.44108248160614,105.0,3.0,102.0,10.2,-0.5,-1.8,91,1014.2,10.6,260,100,90,55,64,0.1,0.0,0.07,71,30.0,1418.9142555321394,1874.6425,2844.5125000000003,8136.333333333333,9293.860833333334
2022-02-25,12:00:00,1584.128333333333,202.1513904221057,70.16954807963623,19.83045192036377,13.40303358882475,111.0,5.0,106.0,14.0,1.1,0.8,98,984.0,29.9,207,100,94,77,9,0.4,0.2,0.14,71,30.0,1669.5454674211865,2556.5875,5290.056666666666,5505.048333333333,1314.4375
2023-04-05,10:00:00,4217.261666666666,172.05649334711163,53.280991416580015,36.71900858341999,11.573615022051117,192.0,7.0,185.0,12.0,3.2,0.5,82,1018.0,10.5,98,100,100,98,79,0.3,0.2,0.07,71,0.0,3340.872527415296,24877.924166666668,23807.130833333333,25127.51,16917.200833333332
2023-03-11,09:00:00,2722.02,154.3815381887502,65.49930590651574,24.50069409348426,10.451888985198584,116.0,2.0,114.0,5.2,-7.2,-9.7,82,987.9,18.0,89,100,95,95,96,0.1,0.0,0.07,71,10.0,1709.7657390241243,13390.884166666665,10993.669166666668,5291.6825,314.8825
2022-02-14,07:00:00,404.1091666666666,127.38583623981678,84.2945308148304,5.7054691851696,8.384328885433657,9.0,0.0,9.0,0.0,0.9,-0.3,92,998.3,22.4,242,100,16,100,100,0.2,0.1,0.07,71,0.0,0.0,1122.2941666666666,145.53,2521.6508333333336,2039.2116666666668
2022-04-07,08:00:00,2681.0125000000003,136.83067083240738,59.08608835556306,30.913911644436933,9.583830285162508,148.0,32.0,116.0,68.1,0.9,-0.3,91,979.8,7.7,311,100,99,87,79,0.4,0.2,0.14,71,32.0,3000.896807543137,17131.816666666666,10350.6,2454.358333333333,7201.075
2022-02-15,14:00:00,301.2341666666667,229.7022496281909,82.50896985310987,7.491030146890128,15.38527436764267,49.0,13.0,36.0,73.4,1.2,0.2,93,998.1,21.1,256,100,99,100,60,0.6,0.5,0.07,71,13.0,525.8614172950507,275.02666666666664,1031.361666666667,272.6608333333333,268.99333333333334
