date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2022-11-24,08:00:00,247.335,149.74709390479808,83.98600225374936,6.0139977462506335,9.843122567512449,20.0,4.0,16.0,44.8,-3.1,-6.0,80,1013.2,9.4,337,100,91,83,92,0.0,0.0,0.0,3,36.0,66.30692049024327,0.0,0.0,0.0,0.0
2022-11-17,06:00:00,0.04,123.34118565297968,92.89807929600536,-2.8980792960053545,7.871780856377116,0.0,0.0,0.0,0.0,1.3,-1.6,81,1011.9,10.0,75,85,94,0,0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.03
2022-09-30,14:00:00,3919.730833333333,239.3448081995585,76.30338078223375,13.696619217766251,15.78751320122897,165.0,100.0,65.0,345.5,10.4,6.2,75,1005.7,14.2,189,100,96,26,0,0.0,0.0,0.0,3,400.0,3319.3898986207687,891.5916666666667,653.2383333333333,7519.691666666667,4418.615833333333
2023-06-27,16:00:00,1378.1183333333336,277.1483021025627,66.8789144755734,23.121085524426604,17.568877408459585,196.0,62.0,134.0,136.8,22.4,11.5,50,1002.8,9.1,124,94,33,60,95,0.0,0.0,0.0,3,4154.0,2160.5258476644003,2544.971666666667,7639.7475,2226.226666666667,2022.7916666666667
2023-02-15,08:00:00,2238.675,140.99126392648938,78.52251602063012,11.477483979369875,9.384905975429998,100.0,54.0,46.0,352.3,0.1,-0.4,97,1021.9,9.4,227,94,88,0,48,0.0,0.0,0.0,3,648.0,5825.300957804914,8970.48,2521.221666666667,5025.654166666666,2063.4125
2022-05-07,12:00:00,5375.7525,214.4090858137113,46.05265725241341,43.9473427475866,13.677530436292797,434.0,208.0,226.0,290.5,14.5,8.8,68,1008.8,21.6,224,100,92,86,24,0.0,0.0,0.0,3,1664.0,9452.731823930371,17270.143333333333,20014.704166666663,20657.2475,23771.211666666662
2022-10-03,10:00:00,9429.049166666666,176.69014006746303,63.17846796646985,26.821532033530143,11.8026152723675,218.0,51.0,167.0,115.4,10.4,6.7,78,1004.3,22.6,68,100,55,91,100,0.0,0.0,0.0,3,2295.0,5082.2445272161685,7278.773333333333,10768.980833333331,13321.9125,6393.568333333334
2022-05-14,18:00:00,136.82916666666668,300.8259513245438,86.06049401322323,3.93950598677677,19.680964724121317,63.0,25.0,38.0,191.7,8.9,6.2,83,1000.4,13.5,164,100,94,24,95,0.0,0.0,0.0,3,150.0,0.0,169.21666666666667,795.8241666666667,145.93083333333334,82.52583333333334
2022-07-17,19:00:00,13.7,312.456428334473,89.10917407593823,0.8908259240617706,20.51664872724292,21.0,5.0,16.0,51.1,13.3,7.8,69,1011.2,12.6,160,82,44,52,37,0.0,0.0,0.0,3,280.0,0.0,5.569999999999999,341.115,46.07666666666666,4.54
2023-03-23,15:00:00,998.3066666666668,251.1033659468143,77.79412260975128,12.20587739024872,16.510035946108747,131.0,44.0,87.0,162.5,7.6,4.3,80,991.3,16.8,222,100,69,92,99,0.0,0.0,0.0,3,1364.0,1791.694985076729,137.32416666666668,368.9741666666666,2679.235833333333,372.0183333333334
2023-05-01,14:00:00,8012.23,246.67662064152196,59.47801333055337,30.52198666944664,15.66810887220297,318.0,63.0,255.0,113.0,9.7,0.1,51,1008.7,20.0,219,86,0,96,94,0.0,0.0,0.0,3,6300.0,5824.605521061673,4482.666666666667,8387.975833333332,7652.6225,3894.6175
2022-10-05,14:00:00,190.09833333333333,238.8301283315417,78.20971300450078,11.79028699549922,15.813671401179908,63.0,4.0,59.0,15.6,13.2,11.8,91,1003.3,15.8,227,100,100,46,100,0.0,0.0,0.0,3,0.0,451.0109833776214,623.5891666666668,1111.3333333333333,1823.3775,778.1858333333333
2022-04-08,16:00:00,353.37083333333334,268.527444451254,80.52874050094127,9.471259499058736,17.590000316256226,82.0,9.0,73.0,39.1,3.4,-2.2,67,976.6,22.8,235,94,79,0,77,0.0,0.0,0.0,3,189.0,655.3350059975986,902.0425,882.9975,1214.9383333333333,601.6783333333333
