date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2022-06-02,08:00:00,2474.851666666667,130.47013483534576,44.54269440152903,45.45730559847097,9.653801423090174,74.0,0.0,74.0,0.0,10.5,10.4,99,1000.6,29.7,260,100,100,99,79,0.5,0.5,0.0,53,0.0,629.719279368687,19302.6475,19828.21083333333,8896.19,17369.186666666665
2022-07-05,09:00:00,14098.709166666667,147.3575560102549,39.50638507613584,50.49361492386416,10.543490357944783,542.0,399.0,143.0,536.5,20.1,12.4,61,1007.7,23.2,204,59,30,54,0,0.6,0.6,0.0,53,27930.0,13853.920580515603,15662.366666666669,16909.350000000002,15993.840833333334,13942.398333333333
2022-05-25,17:00:00,1284.2075,289.43144465284627,77.04123671770446,12.958763282295532,18.670693114585124,32.0,0.0,32.0,0.0,13.5,11.8,89,1004.3,9.7,239,72,3,67,98,0.8,0.8,0.0,53,0.0,0.0,778.8941666666666,1788.2866666666666,797.745,1323.4425
2022-05-20,12:00:00,1152.9075,215.81123235613973,43.06428711625816,46.93571288374184,13.677810777580142,236.0,72.0,164.0,95.7,10.3,5.9,74,1009.1,18.9,8,100,94,95,43,0.6,0.6,0.0,53,432.0,4454.15618287014,19502.225,20525.435833333333,23080.894166666665,7515.875833333333
2022-09-29,10:00:00,6882.333333333333,176.27170584121106,61.63913178762356,28.360868212376445,11.78110950079669,102.0,0.0,102.0,0.0,8.3,6.6,89,997.2,1.3,304,100,86,99,95,0.5,0.5,0.0,53,0.0,1251.07634053373,15897.746666666666,9702.44,15875.586666666668,15866.578333333331
2022-05-20,11:00:00,2904.359166666667,195.02961187333776,39.76160664171663,50.23839335828337,12.677851812386615,285.0,81.0,204.0,104.6,10.7,6.3,74,1009.0,18.8,3,100,87,96,44,0.6,0.6,0.0,53,1053.0,5732.882799228481,20525.435833333333,20481.18333333333,24786.53,13272.88
2022-02-17,10:00:00,1934.9291666666668,170.5083309881371,71.4127054902331,18.5872945097669,11.387186713695352,34.0,0.0,34.0,0.0,3.1,2.9,99,957.0,15.5,298,100,100,98,100,0.7,0.7,0.0,53,0.0,0.0,1835.5741666666663,2402.4216666666666,9846.483333333334,3384.195
2023-03-26,14:00:00,1124.4066666666663,238.02166017458512,69.92088596903827,20.07911403096174,15.524892030050742,85.0,9.0,76.0,22.9,3.9,3.7,99,990.8,9.4,32,100,100,92,29,0.5,0.5,0.0,53,0.0,981.5653545139832,1934.9175,5249.742499999999,953.53,2906.8741666666665
2022-02-16,11:00:00,1439.9658333333334,185.9682539456557,71.51160096418168,18.48839903581832,12.38610463421849,214.0,105.0,109.0,330.4,3.1,1.5,89,990.4,27.4,270,100,100,71,72,0.6,0.6,0.0,53,0.0,8053.604794517683,3629.9341666666655,9846.483333333334,3811.325,1668.25
2022-10-05,05:00:00,227.77166666666668,102.8742127531124,87.86224504781188,2.137754952188112,6.811791277519804,1.0,0.0,1.0,0.0,7.4,7.1,98,1004.8,12.1,253,94,7,99,93,0.7,0.7,0.0,53,0.0,0.0,215.34666666666664,0.0,699.8416666666667,299.5883333333333
2022-10-11,07:00:00,659.5716666666667,131.19726131352834,76.12514743856867,13.874852561431322,8.840312817920305,12.0,0.0,12.0,0.0,8.3,6.3,87,1004.0,24.5,273,100,100,98,5,0.5,0.5,0.0,53,0.0,0.0,5089.184166666667,2721.306666666667,8955.580833333333,4203.075833333333
2022-07-15,10:00:00,5548.183333333333,169.07758212221134,37.9653909111416,52.0346090888584,11.520229440806135,378.0,94.0,284.0,121.3,15.4,13.8,90,997.7,15.5,176,84,21,60,98,0.6,0.6,0.0,53,7426.0,7832.013234953284,18719.595,17531.948333333334,14181.5525,4297.1825
2022-07-19,14:00:00,13218.514166666668,247.78321019512728,53.473189062630496,36.526810937369504,15.51449916003829,549.0,425.0,124.0,662.4,20.1,14.6,70,1010.1,17.7,151,25,9,19,19,0.5,0.5,0.0,53,38675.0,9986.167917040031,9465.51,11092.913333333332,3790.0316666666654,11805.585833333333
2022-09-16,09:00:00,14487.153333333334,157.07021393726865,58.50106996108619,31.49893003891381,10.70515985059884,268.0,107.0,161.0,216.3,12.5,11.2,92,981.6,16.5,238,91,66,23,59,0.8,0.8,0.0,53,3638.0,7270.2517624632,16944.915833333333,14012.233333333332,3105.59,3276.289166666667
2022-05-07,13:00:00,3511.043333333333,232.2297816868306,51.32451618694816,38.67548381305184,14.677573988990035,225.0,41.0,184.0,62.0,12.8,9.3,79,1008.6,22.4,226,100,71,81,0,0.9,0.9,0.0,53,1189.0,3994.9204928930594,15736.965833333334,17270.143333333333,12928.481666666668,19896.54833333333
2022-02-16,12:00:00,1190.0166666666669,201.23372171699864,73.3077053435876,16.692294656412397,13.386147946428045,110.0,29.0,81.0,95.1,2.8,1.6,92,989.0,27.1,266,100,99,100,78,0.5,0.5,0.0,53,29.0,2478.483938378069,1087.0433333333333,3629.9341666666655,2699.9933333333333,1250.0916666666667
2022-06-18,08:00:00,3861.263333333333,128.7894417267153,43.7631437662568,46.2368562337432,9.601511058923252,185.0,6.0,179.0,8.8,16.4,12.5,78,1005.5,20.0,247,100,70,100,99,0.5,0.5,0.0,53,180.0,2964.7870557275346,17153.84,15395.268333333332,14873.8575,21036.106666666667
2022-07-15,09:00:00,5015.4775,147.4692562525817,40.81589991186389,49.18410008813611,10.520299476985448,331.0,64.0,267.0,87.9,15.4,13.1,86,997.6,12.9,193,100,57,75,93,0.6,0.6,0.0,53,2752.0,6641.97903041417,17531.948333333334,18136.8775,17819.860833333332,3833.5325
