date,time,Power,solar_azimuth,solar_zenith,solar_elevation,solar_time,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,temperature_2m,dewpoint_2m,relativehumidity_2m,surface_pressure,windspeed_10m,winddirection_10m,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,precipitation,rain,snowfall,weathercode,cloud_radiation,pvsim,Lag_24,Lag_25,Lag_48,Lag_72
2022-05-11,05:00:00,157.4775,89.21020235962199,69.51560892438961,20.484391075610397,6.680330037528408,41.0,0.0,41.0,0.0,8.0,6.4,90,1001.7,20.9,246,100,56,99,99,2.1,2.1,0.0,61,0.0,0.0,6435.6483333333335,2135.0291666666667,7501.638333333333,7080.636666666666
2022-07-15,11:00:00,7838.984166666666,191.8314795515944,38.0333401917698,51.966659808230204,12.520159648881943,402.0,91.0,311.0,115.1,15.3,13.7,90,998.0,14.7,158,100,21,89,95,2.4,2.4,0.0,61,7189.0,8264.388361890355,20532.373333333333,18719.595,14333.826666666668,7568.804166666666
2022-05-25,16:00:00,1599.7383333333337,277.06665603422147,69.56570423269643,20.434295767303563,17.670765214834237,35.0,0.0,35.0,0.0,14.4,10.7,78,1004.6,9.5,241,62,3,62,74,1.3,1.3,0.0,61,0.0,0.0,1788.2866666666666,8102.581666666666,1794.7425,2622.349166666667
2023-05-16,14:00:00,1467.455,249.22427883693436,56.085720861733,33.914279138267,15.680579609631495,152.0,2.0,150.0,3.3,13.8,12.2,90,1001.9,18.7,161,100,53,100,100,1.5,1.5,0.0,61,94.0,2301.5988567377667,8716.064166666667,10201.130833333336,11627.551666666666,11672.905833333332
2022-07-17,07:00:00,7935.258333333332,112.43866423497424,52.89737753641708,37.10262246358292,8.517334383553186,247.0,97.0,150.0,176.2,14.4,12.8,90,1007.4,17.1,155,100,40,95,92,1.9,1.9,0.0,61,5820.0,5486.126826636616,9695.710833333333,7976.275000000001,12629.760833333334,8395.899166666666
2022-08-06,05:00:00,1901.7725,87.8410247190036,71.7320261639701,18.2679738360299,6.521095148637914,89.0,31.0,58.0,124.4,19.7,17.9,89,1005.2,17.1,228,100,73,100,100,1.5,1.5,0.0,61,837.0,1407.065697706036,4125.8758333333335,493.0041666666666,4530.9725,2683.8791666666666
2022-07-19,07:00:00,11870.706666666669,112.62445833963857,53.2185343095694,36.7814656904306,8.514815921159922,278.0,129.0,149.0,236.3,17.7,15.1,85,1009.5,10.7,192,71,33,62,12,2.0,2.0,0.0,61,8643.0,6435.56757257955,14547.1425,7749.175833333334,7935.258333333332,9695.710833333333
2022-05-31,11:00:00,8706.0025,195.0409215607161,37.82250567020204,52.17749432979796,12.658596106146584,517.0,244.0,273.0,306.9,13.9,11.6,86,1000.9,17.1,68,83,44,41,64,1.5,1.5,0.0,61,13664.0,11765.341465881052,10208.294166666668,9216.978333333334,9629.194166666666,12963.266666666668
2022-09-15,15:00:00,3293.535,254.55216225789485,77.63548858616117,12.364511413838828,16.700694633395912,135.0,65.0,70.0,236.5,12.0,10.3,89,984.1,14.2,249,60,29,38,38,1.9,1.9,0.0,61,4615.0,1678.295314515512,1549.0541666666668,558.7008333333333,278.18,1354.628333333333
2022-07-08,05:00:00,1470.6933333333334,84.66604051195556,66.77590653907113,23.22409346092887,6.535736272595227,49.0,11.0,38.0,33.1,14.6,13.7,94,1010.4,10.1,264,100,54,98,88,1.8,1.8,0.0,61,506.0,221.46642976554185,6280.430833333333,2611.935,2446.03,7017.008333333334
2022-05-27,12:00:00,12260.036666666669,216.23044533133884,41.781407274227874,48.218592725772126,13.667373155752143,415.0,124.0,291.0,161.7,11.9,8.2,78,990.8,10.8,178,100,95,27,46,1.7,1.7,0.0,61,620.0,8533.404159720661,9164.365833333331,14933.230833333337,3567.380833333333,18198.52333333333
2022-05-28,11:00:00,12963.266666666668,195.0887316332617,38.281930955611,51.718069044389,12.665425389760944,537.0,278.0,259.0,351.8,12.5,8.4,76,993.2,10.9,189,100,77,90,45,1.7,1.7,0.0,61,6394.0,12385.012764101237,5769.1225,1381.235,14933.230833333337,4632.804166666667
2022-08-06,06:00:00,529.1858333333333,100.9796903645398,64.07761250797245,25.92238749202756,7.521172257159617,105.0,38.0,67.0,101.1,19.2,18.4,95,1005.8,16.4,220,100,95,99,99,1.7,1.7,0.0,61,190.0,1837.863640077708,8599.913333333334,4125.8758333333335,9366.651666666668,6388.044999999999
2022-09-17,13:00:00,9817.800833333333,225.90466946968075,65.0961226811493,24.9038773188507,14.712109567713302,299.0,167.0,132.0,363.0,12.9,10.6,86,984.2,10.2,157,49,47,7,8,1.6,1.6,0.0,61,8851.0,7189.225562002245,9352.250833333334,10003.795833333334,4409.365,2834.7958333333336
2022-06-18,10:00:00,3927.144166666667,170.62403189195584,35.94824215405822,54.05175784594178,11.601208887589245,106.0,0.0,106.0,0.0,14.6,13.5,93,1004.3,20.0,244,100,66,100,28,1.5,1.5,0.0,61,0.0,1283.770235988981,19353.575,19233.510833333334,17047.8875,22034.03
2022-05-31,12:00:00,4724.534166666667,216.35599098878163,41.162558210399645,48.83744178960036,13.658493787631146,326.0,127.0,199.0,164.1,12.5,10.0,85,1001.7,16.3,68,100,74,82,41,2.0,2.0,0.0,61,3302.0,6626.849072074047,6668.173333333333,10208.294166666668,10337.525,4788.1725
2022-04-08,04:00:00,263.0216666666667,81.01976392114936,87.00011463735143,2.999885362648569,5.587700100441123,0.0,0.0,0.0,0.0,5.5,5.1,97,969.5,19.2,240,100,100,87,100,1.5,1.5,0.0,61,0.0,0.0,0.0,0.0,171.01833333333332,0.0
2022-07-28,13:00:00,9958.509166666669,230.5235443568596,48.50542656552211,41.49457343447789,14.51138479073023,382.0,197.0,185.0,282.7,17.5,12.5,73,1009.8,12.7,135,100,54,96,0,1.5,1.5,0.0,61,9062.0,7696.133906917944,7020.406666666667,6974.326666666667,2469.5375,14163.189166666663
2023-06-22,09:00:00,3032.613333333333,147.9644498392918,38.68799598810071,51.31200401189929,10.58767706748518,102.0,0.0,102.0,0.0,19.1,18.1,94,1005.7,10.0,244,100,50,86,48,1.4,1.4,0.0,61,0.0,1170.3571205012695,0.0,0.0,0.0,0.0
2022-07-19,09:00:00,10662.655833333334,147.66216282977925,41.49071164935522,48.50928835064478,10.514724089168771,442.0,274.0,168.0,380.4,18.3,15.4,83,1009.8,9.9,170,29,17,22,0,2.4,2.4,0.0,61,22742.0,10983.325110466316,14818.585833333333,13991.033333333333,4840.995,13901.1775
2022-05-27,11:00:00,5769.1225,195.0962950297341,38.44694756867082,51.55305243132918,12.667455165661094,499.0,200.0,299.0,253.6,12.7,9.3,80,990.8,12.6,177,100,92,75,48,1.5,1.5,0.0,61,1600.0,11115.938080269265,14933.230833333337,18340.14416666667,4632.804166666667,18195.20833333333
2022-07-08,06:00:00,1697.5075,97.63739007368144,59.09600989286686,30.903990107133144,7.535628549507704,98.0,35.0,63.0,77.0,15.1,14.3,95,1010.7,11.8,243,100,55,99,69,1.3,1.3,0.0,61,1575.0,1484.9861724391997,7326.0325,6280.430833333333,12058.750833333334,11215.950833333334
2022-05-27,10:00:00,1381.235,172.4330289484841,37.94667171946007,52.05332828053993,11.667536950399892,389.0,140.0,249.0,180.0,12.3,9.2,82,990.8,13.8,171,89,56,47,36,1.6,1.6,0.0,61,6160.0,8603.818906173854,18340.14416666667,18466.924166666668,12984.9125,18065.955833333333
2022-05-11,06:00:00,1225.440833333333,102.44814198497583,61.85979340256419,28.140206597435807,7.680349085397768,42.0,0.0,42.0,0.0,8.0,7.0,93,1001.2,19.9,248,100,99,98,90,1.8,1.8,0.0,61,0.0,0.0,13896.3625,6435.6483333333335,14050.116666666669,15188.724166666669
2022-07-23,04:00:00,222.80500000000004,73.32373899571942,76.51809783699083,13.481902163009163,5.511691819187565,58.0,12.0,46.0,69.9,18.2,17.8,98,1006.4,13.1,233,44,35,21,0,2.3,2.3,0.0,61,780.0,379.9466925373273,2103.0116666666668,0.5116666666666666,2187.7833333333333,2065.0558333333333
2022-07-17,11:00:00,10375.446666666669,191.70279048853024,38.35660527333312,51.64339472666688,12.51710173091256,428.0,104.0,324.0,132.1,15.2,11.2,77,1009.8,21.4,155,100,18,100,100,1.3,1.3,0.0,61,8528.0,8955.636078078689,15523.148333333333,17048.829999999998,7838.984166666666,20532.373333333333
2022-07-08,08:00:00,4996.0408333333335,128.20518144832045,45.012954824923945,44.987045175076055,9.535413677765863,109.0,16.0,93.0,24.0,16.1,15.3,95,1011.3,8.7,232,99,40,97,17,1.4,1.4,0.0,61,960.0,1496.991719243353,13133.511666666667,3871.404166666666,15403.7425,13706.770833333334
2022-07-19,08:00:00,5745.954166666666,128.82976390308642,46.61305092572636,43.386949074273645,9.51476987247516,293.0,143.0,150.0,221.8,17.4,14.9,85,1009.8,11.2,176,39,21,27,13,1.9,1.9,0.0,61,11297.0,6794.64609399048,13991.033333333333,14547.1425,5997.7625,11157.8175
2022-09-17,11:00:00,7362.176666666666,192.67148589580955,57.54120680407255,32.45879319592745,12.711613158480228,312.0,161.0,151.0,296.4,13.3,11.0,86,983.5,5.9,166,65,30,35,56,1.8,1.8,0.0,61,11270.0,8349.243157187086,6529.925,8162.883333333334,10308.268333333332,2022.0408333333328
2022-08-22,07:00:00,4271.7025,118.69896227107208,60.77698781660735,29.22301218339265,8.570918399097167,39.0,0.0,39.0,0.0,17.4,16.4,94,1010.1,8.2,165,98,12,100,91,1.3,1.3,0.0,61,0.0,0.0,11980.306666666664,7221.46,13259.831666666669,8905.428333333333
2022-07-10,15:00:00,5010.958333333333,263.05848528124324,59.83655941942946,30.16344058057054,16.52981542048423,373.0,199.0,174.0,356.8,18.4,13.6,74,1005.3,8.1,58,68,2,70,80,1.9,1.9,0.0,61,19502.0,5571.89828201904,3851.549166666667,5013.680833333333,684.4725,9336.33
2022-08-17,11:00:00,10134.483333333334,191.19823722210876,46.17635981026671,43.82364018973329,12.551957447404089,359.0,128.0,231.0,183.8,23.8,19.5,77,1010.6,18.1,235,83,1,87,98,2.3,2.3,0.0,61,12672.0,7830.487858792937,14709.97,15424.640833333331,11807.458333333334,6100.580000000001
2022-07-10,16:00:00,3253.784166666667,275.9767412907299,67.52625304198737,22.47374695801263,17.52971936866817,284.0,151.0,133.0,340.9,17.7,13.9,78,1005.0,6.7,54,46,0,37,79,1.4,1.4,0.0,61,15100.0,2833.23109835624,2251.04,3851.549166666667,0.0,2807.7183333333337
2023-05-16,15:00:00,1428.9516666666666,263.1882552955951,63.54295479170154,26.45704520829846,16.68056482545227,125.0,1.0,124.0,2.0,13.5,12.3,92,1001.9,16.2,163,100,89,100,99,1.4,1.4,0.0,61,11.0,1742.219242283482,5102.0625,8716.064166666667,7079.035,7057.3
2022-08-17,12:00:00,10719.4075,210.66643301167937,48.94407051105321,41.05592948894679,13.55210731422869,240.0,44.0,196.0,65.0,23.2,20.3,84,1010.7,14.5,228,86,0,95,98,1.4,1.4,0.0,61,4400.0,4344.470538673733,13469.189166666663,14709.97,12491.985,0.0
2022-06-13,10:00:00,19668.71583333333,171.06920439573554,36.113706669731975,53.886293330268025,11.61907431806921,574.0,397.0,177.0,498.5,16.5,11.0,70,1005.0,20.3,203,84,48,68,0,2.1,2.1,0.0,61,20644.0,14280.68800208868,17785.455833333333,14193.9225,15769.319166666666,13420.689166666663
