,0,1,2,3,4,5,6,7,8,9,10
0,26.15232790133629,124.64672213606906,-34.64672213606909,0.0,0.0,0.0,0.0,-3.2000000000000006,68.0,0.0,0.0
1,43.06967456671281,120.25772643843892,-30.25772643843892,0.0,0.0,0.0,0.0,-3.5000000000000004,70.0,0.0,0.0
2,58.46550311643383,114.2834127098104,-24.283412709810385,0.0,0.0,0.0,0.0,-3.900000000000001,92.0,0.0,0.0
3,72.56095369240194,107.27103802185654,-17.271038021856537,0.0,0.0,0.0,0.0,-4.099999999999998,89.0,0.0,0.0
4,85.79213417217983,99.7060803614246,-9.70608036142459,0.0,0.0,0.0,0.0,-4.200000000000001,100.0,0.0,0.0
5,98.6459875983559,92.01062830081996,-2.0106283008199473,0.0,0.0,0.0,0.0,-4.200000000000001,100.0,0.0,0.0
6,111.59060465849682,84.57456804857728,5.425431951422728,15.0,0.0,15.000000000000002,0.0,-4.200000000000001,100.0,0.0,0.0
7,125.04248759532112,77.79031907589106,12.209680924108936,79.0,4.0,75.0,25.9,-3.3000000000000007,100.0,1126.1982466902502,2198.6949634574603
8,139.32068352765094,72.07463176781064,17.92536823218936,148.0,12.0,136.0,45.9,-2.5000000000000004,100.0,2976.06061945432,2203.3716336720686
9,154.56149659429695,67.86036584275743,22.13963415724257,221.0,34.0,186.99999999999997,98.6,-2.0000000000000004,100.0,5379.974913929582,2426.7519287461973
10,170.6157039077202,65.54009337809838,24.459906621901617,252.0,47.0,205.0,118.0,-1.7000000000000002,100.0,6277.338383399333,2624.030928056246
11,187.02438197606048,65.36533627474137,24.63466372525864,287.0,87.0,200.0,208.0,-1.6000000000000003,100.0,7986.640486952681,2663.8642774598484
12,203.17353601858292,67.35542349653304,22.644576503466954,275.0,71.0,204.0,175.9,-1.5000000000000002,100.0,7007.170243009799,1756.7803415325407
13,218.56516434688396,71.28943170388712,18.710568296112886,204.99999999999997,52.0,153.0,146.3,-1.7000000000000002,100.0,4707.466626558356,1234.0586938367474
14,232.99978029842,76.7885000960006,13.211499903999394,191.0,74.0,116.99999999999999,267.4,-1.9000000000000004,100.0,4491.9184734914215,1231.3710879481584
15,246.57568279547456,83.41989990880009,6.580100091199915,120.0,36.0,84.0,208.1,-2.6000000000000005,100.0,1933.82933229112,467.08960101236124
16,259.59025114577474,90.76155366522175,-0.7615536652217691,30.0,6.999999999999999,23.0,74.7,-4.099999999999998,100.0,0.0,190.91393728381954
17,272.44842651065545,98.41663373160824,-8.416633731608249,0.0,0.0,0.0,0.0,-5.6000000000000005,100.0,0.0,0.0
18,285.610962328084,105.9951845465098,-15.995184546509785,0.0,0.0,0.0,0.0,-7.1,100.0,0.0,0.0
19,299.56119273739847,113.08067124374496,-23.080671243744973,0.0,0.0,0.0,0.0,-7.6,100.0,0.0,0.0
20,314.7432780584488,119.19764571303264,-29.19764571303266,0.0,0.0,0.0,0.0,-8.5,100.0,0.0,0.0
21,331.4147602113355,123.80714981837106,-33.80714981837106,0.0,0.0,0.0,0.0,-8.9,100.0,0.0,0.0
22,349.408667765584,126.37448890595248,-36.37448890595247,0.0,0.0,0.0,0.0,-10.0,100.0,0.0,0.0
23,7.989928602340245,126.53328676996965,-36.53328676996967,0.0,0.0,0.0,0.0,-10.7,100.0,0.0,0.0
24,26.111589787205308,124.2577477029162,-34.257747702916205,0.0,0.0,0.0,0.0,-11.1,100.0,0.0,0.0
25,42.972724840004375,119.87635697582922,-29.87635697582924,0.0,0.0,0.0,0.0,-11.4,65.0,0.0,0.0
26,58.33428564349681,113.91167668595584,-23.911676685955825,0.0,0.0,0.0,0.0,-11.1,83.0,0.0,0.0
27,72.41278110260927,106.90699289561373,-16.906992895613712,0.0,0.0,0.0,0.0,-10.5,87.0,0.0,0.0
28,85.63900566093098,99.34575481885253,-9.345754818852512,0.0,0.0,0.0,0.0,-10.5,85.0,0.0,0.0
29,98.49675339139371,91.6494567663199,-1.649456766319894,0.0,0.0,0.0,0.0,-10.9,72.0,0.0,953.7770383859674
30,111.45349368328353,84.20833670825449,5.791663291745509,22.0,5.0,17.0,57.7,-10.0,73.0,10.750931690525904,1552.2469038207548
31,124.92718388333492,77.41599950881569,12.584000491184307,97.0,35.0,62.0,217.8,-8.3,70.0,3783.448269443682,3993.4175357075906
32,139.23942852733484,71.69137555114273,18.308624448857266,176.0,70.0,106.0,261.2,-7.2,61.0,6402.5511154074775,4390.841989329482
33,154.52817042092298,67.47055712771906,22.52944287228094,280.0,119.0,161.0,338.9,-5.500000000000001,62.0,9876.462407123276,5178.49236022419
34,170.6418680272073,65.1497251923279,24.850274807672093,341.0,162.0,179.0,400.5,-3.900000000000001,71.0,11757.085723573196,5885.292069909932
35,187.11369054132675,64.98266884181965,25.017331158180365,359.0,179.0,180.0,421.7,-3.2000000000000006,99.0,11870.19853517163,6543.959082233136
36,203.3192850399017,66.98798576634663,23.01201423365337,341.0,149.0,191.99999999999997,363.7,-2.6000000000000005,69.0,10243.921698304428,5134.469259657636
37,218.75385937105145,70.94124891422716,19.058751085772837,252.0,90.0,162.0,249.09999999999997,-2.6000000000000005,75.0,6512.892478161648,3536.617423820396
38,233.21726282742057,76.45927234643648,13.540727653563517,212.99999999999997,81.0,132.0,286.8,-2.6000000000000005,79.0,5089.02805654568,2598.624428323569
39,246.81096344073939,83.10587124592591,6.89412875407409,115.99999999999999,27.999999999999996,88.0,156.8,-3.5000000000000004,61.0,1784.6557101610636,809.2101164810142
